,pca_bma,pca_lasso_bic,pca_lasso_cvshuffled,pca_lasso_cv,pca_lasso_ebic,pca_ols,pca_ridge_cv
pca_82,-2.90205517304304e-08,-2.64976442016294e-05,0.0,-3.621748943477657e-05,-0.0002088493418324,-0.0002109703294355,-0.0001309016900492
pca_83,0.0,0.0,0.0,0.0,5.37283510603271e-05,5.5849338663401535e-05,3.46530852880284e-05
pca_84,0.0,0.0,0.0,0.0,7.16610869814789e-05,7.378207458455378e-05,4.577988897443616e-05
pca_85,0.0,3.37795186018853e-05,0.0,4.349936383503264e-05,0.0002161312162327,0.0002182522038358,0.0001354199067495
pca_86,0.0,0.0,0.0,0.0,-2.31394591293336e-05,-2.52604467324084e-05,-1.56734607066256e-05
pca_87,0.0,0.0,0.0,0.0,6.59981007508177e-05,6.811908835389246e-05,4.226615095116671e-05
pca_88,0.0,0.0,0.0,0.0,8.77541555001195e-05,8.987514310319423e-05,5.576522612020929e-05
pca_89,0.0,0.0,0.0,0.0,-0.0001459708468852,-0.0001480918344883,-9.188719318441334e-05
pca_90,0.0,0.0,0.0,0.0,7.3633455817709e-05,7.575444342078382e-05,4.7003693358463895e-05
pca_91,0.0,0.0,0.0,0.0,-0.0001222273766381,-0.0001243483642412,-7.715497756289457e-05
pca_92,0.0,0.0,0.0,0.0,8.58357682819819e-05,8.795675588505595e-05,5.457491594865573e-05
pca_93,0.0,0.0,0.0,0.0,-0.0001394224491316,-0.0001415434367347,-8.782407997148202e-05
pca_94,0.0,0.0,0.0,0.0,1.78026477153045e-05,1.992363531838008e-05,1.2362105809281566e-05
pca_95,0.0,0.0,0.0,0.0,5.45872038916178e-05,5.670819149469341e-05,3.5185981489216347e-05
pca_96,0.0,0.0,0.0,0.0,7.16545250935691e-05,7.37755126966441e-05,4.577581749092656e-05
pca_97,0.0,0.0,0.0,0.0,-4.43910501729374e-05,-4.651203777601245e-05,-2.8859529057026503e-05
pca_98,0.0,0.0,0.0,0.0,-5.44404877815319e-05,-5.656147538460646e-05,-3.509494789781474e-05
pca_99,0.0,0.0,0.0,0.0,0.0001606360717837,0.0001627570593868,0.0001009865899066
pca_100,0.0,0.0,0.0,0.0,0.0001184292961816,0.0001205502837847,7.479836584394455e-05
pca_101,0.0,0.0,0.0,0.0,0.0001292630377928,0.0001313840253959,8.152042524565628e-05
pca_102,0.0,0.0,0.0,0.0,8.96016861539428e-05,9.172267375701776e-05,5.691157160703856e-05
pca_103,0.0,0.0,0.0,0.0,-7.75173698715029e-05,-7.963835747457827e-05,-4.94135626277968e-05
pca_104,0.0,0.0,0.0,0.0,-2.14291010193239e-06,-4.263897705007399e-06,-2.6456393999859256e-06
pca_105,0.0,0.0,0.0,0.0,5.43342571644241e-05,5.645524476749898e-05,3.502903451866054e-05
pca_106,0.0,0.0,0.0,0.0,0.0001408885795714,0.0001430095671745,8.873377638669768e-05
pca_107,0.0,0.0,0.0,0.0,-6.34316685199296e-05,-6.555265612300478e-05,-4.0673745434623406e-05
