,coefs
pca_137,2.3642875717068103e-05
pca_138,9.292012836737912e-05
pca_139,-9.020261224733433e-05
pca_140,0.00011017159272633312
pca_141,-6.012614737993398e-05
pca_142,-0.00013862306405200775
pca_143,-6.824240828260667e-05
pca_144,7.087749626465564e-05
pca_145,4.456031086946881e-05
pca_146,0.0001088729093178892
pca_147,5.942780193031985e-05
pca_148,4.0741594815356314e-05
pca_149,1.8543111825104872e-05
pca_150,7.194170564115806e-05
pca_151,0.00037835158158254446
pca_152,7.108482645080556e-05
pca_153,-1.3737742773719509e-05
pca_154,-8.345610618277367e-05
pca_155,-5.436457698946918e-05
pca_156,-4.9178135429110555e-05
pca_157,5.924156581580136e-05
pca_158,-5.19519635822229e-06
pca_159,-6.509162480715612e-05
pca_160,7.775607987805907e-05
pca_161,-5.086231978710428e-06
pca_162,0.00019096675332331867
pca_163,-1.9124414790402006e-05
pca_164,-6.310502180712896e-05
pca_165,8.302818843859473e-05
pca_166,8.063337232568137e-05
pca_167,-4.8169146755990436e-05
pca_168,-0.00018907523955487922
pca_169,3.8903053547073815e-05
pca_170,-5.229505311708808e-05
pca_171,4.020900821403183e-05
pca_172,6.713459628391876e-05
pca_173,-9.110683551584536e-06
pca_174,4.2985117549126326e-05
pca_175,-6.558880774408937e-05
pca_176,-2.509201683712633e-05
pca_177,-4.113599023355973e-05
pca_178,-0.00010180599320889546
pca_179,9.169923956692942e-05
pca_180,8.744707076848189e-05
pca_181,-0.00017381959303975987
pca_182,9.700890030464802e-06
pca_183,-4.768491972451346e-05
pca_184,-2.2525014231123755e-05
pca_185,-5.211370499899119e-05
pca_186,3.1095798897178276e-05
pca_187,4.9561811819419863e-05
pca_188,-8.125616476236606e-05
pca_189,-1.1506681994345664e-05
pca_190,-5.2608376394516854e-05
pca_191,1.4538112233041392e-05
pca_192,-3.897544136725768e-05
pca_193,-2.1230303930370642e-05
pca_194,5.612460898127225e-06
pca_195,6.0923935931412984e-05
