,coefs
pca_103,-7.963835747457827e-05
pca_104,-4.263897705007399e-06
pca_105,5.645524476749898e-05
pca_106,0.0001430095671745374
pca_107,-6.555265612300478e-05
pca_108,0.00017252611269021338
pca_109,-4.7269388885203564e-05
pca_110,-4.218492992357799e-06
pca_111,-4.4502431162587426e-05
pca_112,-0.00013751962442359647
pca_113,-0.00010167142889976977
pca_114,8.260975243431926e-05
pca_115,-6.633803851539309e-05
pca_116,-8.33399800900403e-05
pca_117,3.290383439781639e-06
pca_118,0.00018184806199584384
pca_119,-7.821071231285116e-05
pca_120,2.0798700427688126e-05
pca_121,-0.00012651899945300243
pca_122,-3.6833376480296934e-05
pca_123,0.00012344673656892636
pca_124,-3.2408122258539466e-05
pca_125,6.817941547384502e-05
pca_126,0.00010411675741789798
pca_127,-8.775739724011719e-05
pca_128,8.973897153445505e-06
pca_129,-7.386006395778891e-05
pca_130,0.00014640606441692686
pca_131,0.00011820469941321797
pca_132,0.00014866443601786492
pca_133,0.00025867022735473586
pca_134,-8.942740149588322e-05
pca_135,6.799768443536118e-05
pca_136,-4.702082557176313e-05
pca_137,3.81045139826396e-05
pca_138,0.00014975658515547466
pca_139,-0.00014537684589560282
pca_140,0.00017756025306598196
pca_141,-9.69035091576e-05
pca_142,-0.0002234146364298956
pca_143,-0.00010998424352991562
pca_144,0.00011423113583096427
pca_145,7.18165171155821e-05
pca_146,0.00017546720395096414
pca_147,9.577800673276891e-05
pca_148,6.566200693581491e-05
pca_149,2.988537740826747e-05
pca_150,0.00011594629017820397
pca_151,0.0006097779011018464
pca_152,0.00011456528367624817
pca_153,-2.214070817253464e-05
pca_154,-0.00013450370433078842
pca_155,-8.761775889047228e-05
pca_156,-7.925892651653444e-05
pca_157,9.54778555703355e-05
pca_158,-8.372942219187086e-06
pca_159,-0.0001049062202626397
pca_160,0.00012531714282158042
pca_161,-8.197327595467019e-06
pca_162,0.0003077753911709821
pca_163,-3.0822245970044514e-05
pca_164,-0.00010170447176561406
pca_165,0.00013381404213141744
pca_166,0.00012995438879853227
pca_167,-7.763276972142541e-05
pca_168,-0.00030472689513774324
pca_169,6.269888509297049e-05
pca_170,-8.428236930943221e-05
pca_171,6.480365307734383e-05
pca_172,0.00010819881614370014
pca_173,-1.4683415542895458e-05
pca_174,6.927782526529188e-05
pca_175,-0.00010570751509661026
pca_176,-4.044005128076071e-05
pca_177,-6.62976422074071e-05
pca_178,-0.00016407766712339076
pca_179,0.0001477889152778883
pca_180,0.0001409358223049375
pca_181,-0.0002801398270117657
pca_182,1.563463363058758e-05
pca_183,-7.685235553186198e-05
pca_184,-3.6302890139095184e-05
pca_185,-8.399009598428943e-05
pca_186,5.0116166834285054e-05
pca_187,7.987728625222435e-05
pca_188,-0.00013095812469749503
pca_189,-1.8544974401350247e-05
pca_190,-8.478734304226967e-05
pca_191,2.3430639635143392e-05
pca_192,-6.281555037258238e-05
pca_193,-3.421624436262974e-05
pca_194,9.045434968610886e-06
pca_195,9.818928104841354e-05
